Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0315255497972083,0.000121734064555817,0.0127044483288502,0,0,0,0.140781229185535,9.57436302937677E-05,-1.03738838318003E-06,3.48564950250386E-05,0.000276934775246851,1.32094089368854E-07,0.000328420600123338,0,0,0,0,0,0,package://gello_flexiv_urdf2/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gello_flexiv_urdf2/meshes/base_link.STL,,gello_teleop_flexiv_base-1,Origin0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-4.21087791961303E-06,4.13780121277796E-13,0.0162132800172582,0,0,0,0.0621984978756422,2.62615211798585E-05,2.08797382809487E-13,-5.99006972017266E-08,2.83859325635614E-05,5.88732937575974E-15,1.99124702914227E-05,0,0,0,0,0,0,package://gello_flexiv_urdf2/meshes/link1.STL,0.501960784313725,0.501960784313725,0.501960784313725,0.25,0,0,0,0,0,0,package://gello_flexiv_urdf2/meshes/link1.STL,,gello_teleop_flexiv_l1-1,Origin1,axle1,joint1,continuous,0,0,0.0657,0,0,0,base_link,0,0,1,500,10,-1.57,1.57,,,,,,,,
link2,-0.017356770849521,0.0469455162135182,2.79882157916966E-05,0,0,0,0.0634542150680963,5.14095077712474E-05,-2.28288942865565E-06,-4.32227084322172E-09,1.39386634834845E-05,-1.0653181716239E-08,5.3268196720201E-05,0,0,0,0,0,0,package://gello_flexiv_urdf2/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://gello_flexiv_urdf2/meshes/link2.STL,,gello_teleop_flexiv_l2-1,Origin2,axle2,joint2,continuous,0.0255500000000018,0,0.0697,1.5707963267949,0,0,link1,1,0,0,500,10,-1.57,1.57,,,,,,,,
link3,-0.0284790389864295,0.0161619247586463,-0.00878838374845518,0,0,0,0.0814089715061094,5.40916273849586E-05,2.00095372177817E-05,-4.35787997925048E-06,3.93655693951892E-05,5.26002307933997E-06,7.84285976150235E-05,0,0,0,0,0,0,package://gello_flexiv_urdf2/meshes/link3.STL,1,1,1,0.25,0,0,0,0,0,0,package://gello_flexiv_urdf2/meshes/link3.STL,,gello_teleop_flexiv_l3-3,Origin3,axle3,joint3,continuous,0.00921665402076984,0.12307958857722,3.33330000000243E-05,0,0,0,link2,0,1,0,500,10,-1.57,1.57,,,,,,,,
link4,0.00894062791591538,0.0484657561314081,0.00124676533207311,0,0,0,0.0813230974830534,8.9445092399936E-05,-3.80723038807162E-06,3.35722644846171E-06,2.75337401547388E-05,1.41399166609116E-05,8.04628078078953E-05,0,0,0,0,0,0,package://gello_flexiv_urdf2/meshes/link4.STL,1,1,1,0.25,0,0,0,0,0,0,package://gello_flexiv_urdf2/meshes/link4.STL,,gello_teleop_flexiv_l4-2,Orgin4,axle4,joint4,continuous,-0.00921665402077129,0.0809234768240403,-0.0106666630000012,0,-1.57079631189374,0,link3,0,0,-1,500,10,-1.57,1.57,,,,,,,,
link5,-0.00825069579847031,0.000752856337642716,0.0566852108854959,0,0,0,0.0387205636578301,2.08544862011903E-05,-6.27474995798638E-08,-1.49070308001189E-06,2.34457028681213E-05,-9.92901086065245E-08,1.07441635450713E-05,0,0,0,0,0,0,package://gello_flexiv_urdf2/meshes/link5.STL,1,1,1,0.25,0,0,0,0,0,0,package://gello_flexiv_urdf2/meshes/link5.STL,,gello_teleop_flexiv_l5-1,Origin5,axle5,joint5,continuous,0.0106666630000012,0.0853109685342546,0.019983333,1.57079632541792,1.5707962257303,3.14159265221282,link4,0,0,1,500,10,-1.57,1.57,,,,,,,,
link6,2.9010774341004E-05,0.0527704329614103,0.0221276294239764,0,0,0,0.101556527752481,6.93870867973033E-05,-1.66442002348779E-08,1.1520733167107E-07,5.2447358967855E-05,3.32301226117133E-06,5.25562821974119E-05,0,0,0,0,0,0,package://gello_flexiv_urdf2/meshes/link6.STL,1,1,1,1,0,0,0,0,0,0,package://gello_flexiv_urdf2/meshes/link6.STL,,gello_teleop_flexiv_l6-1,Origin6,axle6,joint6,continuous,0.0212633330032754,3.33309101373525E-05,0.113352666064485,1.5707963267949,0,-1.57079642507971,link5,0,0,1,500,10,-1.57,1.57,,,,,,,,
link7,0.0115462443760522,-0.0358130813406185,-0.0862447505758081,0,0,0,0.115883973511651,0.000279613444610212,1.93768566410548E-06,-9.18540450167261E-06,0.000107438540990293,-6.36667375327968E-05,0.000204708564388458,0,0,0,0,0,0,package://gello_flexiv_urdf2/meshes/link7.STL,1,1,1,1,0,0,0,0,0,0,package://gello_flexiv_urdf2/meshes/link7.STL,,gello_teleop_gripper_leader_handle-2,Origin7,axle7,joint7,continuous,0.0353049999999996,0.0579166699999999,-0.0351100000000009,0,1.5707963267949,0,link6,0,0,1,0,0,-1.57,1.57,,,,,,,,
link8,0.00886140708441988,-0.0228890869870135,-0.00344999937626646,0,0,0,0.00514149442948945,2.28620915613273E-06,6.24081825748693E-07,-5.88330962226554E-14,4.89003931988539E-07,-1.84456458054666E-13,2.73600261808974E-06,0,0,0,0,0,0,package://gello_flexiv_urdf2/meshes/link8.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://gello_flexiv_urdf2/meshes/link8.STL,,gello_teleop_gripper_trigger-1,Origin8,axle8,joint8,continuous,0.025884,-0.00025,-0.12979,0,1.5708,0,link7,0,0,1,0,0,-1.57,1.57,,,,,,,,
motor7,-0.010121589793187,2.76039113018822E-07,-0.0239109423757536,0,0,0,0.0118632614816526,8.37247908624793E-07,1.36625214558788E-09,1.0764708242377E-08,1.98969988213774E-06,7.13386796540872E-11,2.5734883184239E-06,0,0,0,0,0,0,package://gello_flexiv_urdf2/meshes/motor7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gello_flexiv_urdf2/meshes/motor7.STL,,motor_9350M-10,Origin8,axle7,m7,fixed,0.025884,-0.00025,-0.12979,0,1.5708,0,link7,0,0,0,,,,,,,,,,,,
