Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.031526,-0.013296,-0.00012173,0,0,0,0.14078,9.5744E-05,3.4856E-05,1.0374E-06,0.00032842,-1.3209E-07,0.00027693,0,0,0,0,0,0,package://gello.SLDASM/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://gello.SLDASM/meshes/base_link.STL,,gello_teleop_flexiv_base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
motor1,-0.0033744,0.0052688,0.010588,0,0,0,0.019191,2.4812E-06,5.2284E-07,5.866E-09,1.9967E-06,-9.0264E-09,4.0629E-06,0,0,0,0,0,0,package://gello.SLDASM/meshes/motor1.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://gello.SLDASM/meshes/motor1.STL,,gello_teleop_flexiv_bearing-1;motor_9350M-1,Origin_fix1,基准轴1,fix1,fixed,0,0,0,0,0,-2.1405,base_link,0,0,0,,,,,,,,,,,,
link1,-4.2109E-06,0.035213,-7.0258E-18,0,0,0,0.062198,2.6262E-05,-5.9901E-08,-8.5956E-22,1.9912E-05,-2.6541E-22,2.8386E-05,0,0,0,0,0,0,package://gello.SLDASM/meshes/link1.STL,1,0,0,1,0,0,0,0,0,0,package://gello.SLDASM/meshes/link1.STL,,gello_teleop_flexiv_l1-1,Origin_joint1,基准轴1,joint1,revolute,0,0,0.0188,1.5708,0,2.1405,motor1,0,1,0,500,10,-3.14,3.14,,,,,,,,
motor2,-0.015378,-0.0078109,2.7901E-07,0,0,0,0.011863,8.3725E-07,-1.0765E-08,-1.3666E-09,2.5735E-06,7.1383E-11,1.9897E-06,0,0,0,0,0,0,package://gello.SLDASM/meshes/motor2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://gello.SLDASM/meshes/motor2.STL,,motor_9350M-2,Origin_fix2,基准轴2,fix2,fixed,0.0096,0.0632,0,0,0,-1.5708,link1,0,0,0,,,,,,,,,,,,
link2,-0.00034725,-0.049332,-0.017357,0,0,0,0.063454,5.3268E-05,1.0653E-08,-4.3223E-09,1.3939E-05,2.2829E-06,5.141E-05,0,0,0,0,0,0,package://gello.SLDASM/meshes/link2.STL,0,1,0,1,0,0,0,0,0,0,package://gello.SLDASM/meshes/link2.STL,,gello_teleop_flexiv_l2-1,Origin_joint2,基准轴2,joint2,revolute,-0.023114,0.01595,0.00037524,1.5708,-1.5708,0,motor2,0,0,1,500,10,-1.57,1.57,,,,,,,,
motor3,-0.015378,-0.0078109,2.7568E-07,0,0,0,0.011863,8.3725E-07,-1.0765E-08,-1.3665E-09,2.5735E-06,7.1331E-11,1.9897E-06,0,0,0,0,0,0,package://gello.SLDASM/meshes/motor3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://gello.SLDASM/meshes/motor3.STL,,motor_9350M-9,Origin_fix3,基准轴3,fix3,fixed,-0.00034191,-0.10957,-0.016283,3.1416,1.5708,0,link2,0,0,0,,,,,,,,,,,,
link3,0.011015,-0.025106,0.090538,0,0,0,0.081409,7.73E-05,6.7226E-06,7.2612E-06,5.5221E-05,-1.9373E-05,3.9366E-05,0,0,0,0,0,0,package://gello.SLDASM/meshes/link3.STL,0,0,1,1,0,0,0,0,0,0,package://gello.SLDASM/meshes/link3.STL,,gello_teleop_flexiv_l3-3,Origin_joint3,基准轴3,joint3,revolute,-0.023114,0.1226,0.00037524,1.5708,-1.4693,0,motor3,0,0,-1,500,10,-1.57,1.57,,,,,,,,
motor4,-0.015378,-0.0078109,2.7903E-07,0,0,0,0.011863,8.3725E-07,-1.0765E-08,-1.3666E-09,2.5735E-06,7.1383E-11,1.9897E-06,0,0,0,0,0,0,package://gello.SLDASM/meshes/motor4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://gello.SLDASM/meshes/motor4.STL,,motor_9350M-4,Origin_fix4,基准轴4,fix4,fixed,0.012548,-0.02162,0.051277,3.0401,-1.5708,0,link3,0,0,0,,,,,,,,,,,,
link4,-0.0095143,0.050153,0.048587,0,0,0,0.080481,8.5882E-05,4.202E-06,3.3144E-06,2.7366E-05,-1.3398E-05,7.7021E-05,0,0,0,0,0,0,package://gello.SLDASM/meshes/link4.STL,1,0,0,1,0,0,0,0,0,0,package://gello.SLDASM/meshes/link4.STL,,gello_teleop_flexiv_l4-2,Origin_joint4,基准轴4,joint4,revolute,-0.023113,-0.03405,-0.00036973,-1.5708,1.5685,0,motor4,0,0,1,500,10,-1.57,1.57,,,,,,,,
motor5,-0.015378,-0.0078109,2.7903E-07,0,0,0,0.011863,8.3725E-07,-1.0765E-08,-1.3666E-09,2.5735E-06,7.1383E-11,1.9897E-06,0,0,0,0,0,0,package://gello.SLDASM/meshes/motor5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://gello.SLDASM/meshes/motor5.STL,,motor_9350M-5,Origin_fix5,基准轴5,fix5,fixed,-0.011314,0.12007,0.055517,3.1393,-1.5708,0,link4,0,0,0,,,,,,,,,,,,
link5,-0.00035931,-0.010538,-0.060471,0,0,0,0.047491,3.0287E-05,7.2454E-09,4.9963E-09,2.8415E-05,1.696E-06,1.3379E-05,0,0,0,0,0,0,package://gello.SLDASM/meshes/link5.STL,0,1,0,1,0,0,0,0,0,0,package://gello.SLDASM/meshes/link5.STL,,gello_teleop_flexiv_l5-1,Origin_joint5,基准轴5,joint5,revolute,-0.023114,-0.03415,-0.00037524,1.5708,1.5708,0,motor5,0,0,-1,500,10,-1.57,1.57,,,,,,,,
motor6,-0.015378,-0.0078109,2.7903E-07,0,0,0,0.011863,8.3725E-07,-1.0765E-08,-1.3666E-09,2.5735E-06,7.1383E-11,1.9897E-06,0,0,0,0,0,0,package://gello.SLDASM/meshes/motor6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://gello.SLDASM/meshes/motor6.STL,,motor_9350M-6,Origin_fix6,基准轴6,fix6,fixed,-0.00034191,0.001647,-0.089601,3.1416,-1.5708,0,link5,0,0,0,,,,,,,,,,,,
link6,-0.0059355,0.054838,0.12755,0,0,0,0.10156,6.9216E-05,1.692E-06,-2.2223E-07,5.2618E-05,3.3176E-06,5.2556E-05,0,0,0,0,0,0,package://gello.SLDASM/meshes/link6.STL,0,0,1,1,0,0,0,0,0,0,package://gello.SLDASM/meshes/link6.STL,,gello_teleop_flexiv_l6-1,Origin_joint6,基准轴6,joint6,revolute,-0.023114,0.12265,0.00037524,1.5708,-1.4693,0,motor6,0,0,-1,500,10,-1.57,1.57,,,,,,,,
motor7,-0.015378,-0.0078109,2.7568E-07,0,0,0,0.011863,8.3725E-07,-1.0765E-08,-1.3665E-09,2.5735E-06,7.1331E-11,1.9897E-06,0,0,0,0,0,0,package://gello.SLDASM/meshes/motor7.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://gello.SLDASM/meshes/motor7.STL,,motor_9350M-7,Origin_fix7,基准轴7,fix7,fixed,0.0030642,0.060931,0.09581,1.6723,-1.5708,0,link6,0,0,0,,,,,,,,,,,,
link7,0.036753,0.0012687,0.081548,0,0,0,0.096883,3.2201E-05,1.8157E-05,-1.7616E-05,0.00017318,2.884E-06,0.00018148,0,0,0,0,0,0,package://gello.SLDASM/meshes/link7.STL,1,0,0,1,0,0,0,0,0,0,package://gello.SLDASM/meshes/link7.STL,,gello_teleop_gripper_leader_handle-1,Origin_joint7,基准轴7,joint7,revolute,0.024203,-0.0015403,-0.00029672,3.1416,1.5708,0,motor7,0,-1,0,500,10,-1.57,1.57,,,,,,,,
motor8,-0.015378,-0.0078109,2.7568E-07,0,0,0,0.011863,8.3725E-07,-1.0765E-08,-1.3665E-09,2.5735E-06,7.1331E-11,1.9897E-06,0,0,0,0,0,0,package://gello.SLDASM/meshes/motor8.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://gello.SLDASM/meshes/motor8.STL,,motor_9350M-10,Origin_fix8,基准轴8,fix8,fixed,-0.00029672,-0.0015403,0.089423,3.1416,1.5708,0,link7,0,0,0,,,,,,,,,,,,
link8,-0.022889,0.00055,-0.0088614,0,0,0,0.0051415,4.89E-07,1.8446E-13,-6.2408E-07,2.736E-06,-5.8835E-14,2.2862E-06,0,0,0,0,0,0,package://gello.SLDASM/meshes/link8.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://gello.SLDASM/meshes/link8.STL,,gello_teleop_gripper_trigger-1,Origin_joint8,基准轴8,joint8,revolute,-0.0255,-0.0303,0,3.1416,-1.5682,0,motor8,0,-1,0,500,10,-1.57,1.57,,,,,,,,
