Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0317019077856031,0.000122497816009815,0.0124338259109878,0,0,0,0.139902810276987,9.38804999750392E-05,-1.03438916537E-06,3.37735686708856E-05,0.000274447470628214,1.27477430190273E-07,0.000327298597246979,0,0,0,0,0,0,package://force_gello_urdf/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://force_gello_urdf/meshes/base_link.STL,,gello_teleop_flexiv_base_v2-1,origin0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,3.03020994149863E-05,0.00016374180285061,0.0239753807937216,0,0,0,0.0418249443488874,9.57993562333331E-06,-5.11804466796766E-09,-7.81476277851157E-08,1.13338273685537E-05,7.2004102745463E-07,1.08492165159661E-05,0,0,0,0,0,0,package://force_gello_urdf/meshes/link1.STL,0.501960784313725,0.501960784313725,0.501960784313725,0.25,0,0,0,0,0,0,package://force_gello_urdf/meshes/link1.STL,,gello_teleop_flexiv_l1_v2-1,origin1,axis1,join1,continuous,0,0,0.0501,0,0,0,base_link,0,0,1,,,,,,,,,,,,
link2,-0.0347685303838777,-1.35727831379085E-05,-0.0235315780840539,0,0,0,0.0278032712254486,6.96043369092626E-06,-8.07992625432841E-09,4.48117726572046E-08,1.65743175876051E-05,-1.62696404565998E-10,1.42326977723628E-05,0,0,0,0,0,0,package://force_gello_urdf/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://force_gello_urdf/meshes/link2.STL,,gello_teleop_flexiv_l2_v2-1,origin2,axis2,joint2,continuous,0.0255,0,0.06786667,0,1.5707963267949,0,link1,0,0,1,,,,,,,,,,,,
link3,0.00621142929683009,0.0184041501617898,0.00995822777672023,0,0,0,0.0449042820905969,4.88420583209423E-05,-2.56872029841304E-06,-3.70539681769884E-06,3.42764899938636E-05,-1.41452106946616E-05,2.15433929422088E-05,0,0,0,0,0,0,package://force_gello_urdf/meshes/link3.STL,1,1,1,0.25,0,0,0,0,0,0,package://force_gello_urdf/meshes/link3.STL,,gello_teleop_flexiv_l3_v2-1,origin3,axis3,joint3,continuous,-0.0891650146194216,0,0.00231333000000002,-1.5707963267949,0,1.5707963267949,link2,0,0,1,,,,,,,,,,,,
link4,-0.0056615029518119,-0.0322004124361468,0.0123421466030631,0,0,0,0.0224362691384418,1.70001297377264E-05,-1.42185493944987E-06,-9.1524040528471E-07,8.07588313582812E-06,-4.67223945483357E-06,1.30048802024436E-05,0,0,0,0,0,0,package://force_gello_urdf/meshes/link4.STL,1,1,1,0.25,0,0,0,0,0,0,package://force_gello_urdf/meshes/link4.STL,,gello_teleop_flexiv_l4_v2-1,origin4,axis4,joint4,continuous,0.00850666380206562,0.00231334175953646,0.0740349853805785,-1.5707963267949,0,0,link3,0,0,-1,,,,,,,,,,,,
link5,-0.00528527800387003,5.0064676190978E-06,0.0290932539408084,0,0,0,0.0286077943673181,2.20740315642988E-05,-7.52385385086864E-10,-1.03203456844609E-06,2.10654007582386E-05,7.68549978863258E-11,6.14394455161327E-06,0,0,0,0,0,0,package://force_gello_urdf/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://force_gello_urdf/meshes/link5.STL,,gello_teleop_flexiv_l5_v2-1,origin5,axis5,joint5,continuous,-0.008506667,-0.0789331801981524,0.021046667,1.5707963267949,1.5707963267949,0,link4,0,0,1,,,,,,,,,,,,
link6,-6.59219054577203E-07,0.0383145431149022,-0.00220958689963641,0,0,0,0.0252167090756461,1.59081393652229E-05,9.09437757335237E-10,1.13999545456317E-09,1.08030051066579E-05,-3.77977185535523E-06,7.61471486225543E-06,0,0,0,0,0,0,package://force_gello_urdf/meshes/link6.STL,1,1,1,1,0,0,0,0,0,0,package://force_gello_urdf/meshes/link6.STL,,gello_teleop_flexiv_l6_v2-1,origin6,axis6,jonit6,continuous,0.0135466670000058,0,0.0800001198018476,1.5707963267949,0,1.5707963267949,link5,0,0,1,,,,,,,,,,,,
link7,0.0280387804523955,-0.0100778690942196,0.0157666007372195,0,0,0,0.0193043784043289,8.1090318695502E-06,4.98523107664197E-07,-5.81049688070783E-06,2.59693221741402E-05,-2.03363864275462E-07,1.96751381482221E-05,0,0,0,0,0,0,package://force_gello_urdf/meshes/link7.STL,1,1,1,1,0,0,0,0,0,0,package://force_gello_urdf/meshes/link7.STL,,gello_teleop_flexiv_handle_v2-1,origin7,axis7,joint7,continuous,0.0180000000000007,0.0469333300000001,0.0437119999999942,-1.5707963267949,0,-1.5707963267949,link6,0,0,-1,,,,,,,,,,,,
link8,0.00631459336826165,-0.0133873198803782,-0.0015000015960715,0,0,0,0.00134400270172106,2.58929368648613E-07,8.82184248723256E-08,-5.45519219756729E-14,7.04794518031398E-08,-6.44825170307708E-14,3.2750846038853E-07,0,0,0,0,0,0,package://force_gello_urdf/meshes/link8.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://force_gello_urdf/meshes/link8.STL,,gello_teleop_gripper_trigger_v2-1,origin8,axis8,joint8,continuous,0,-0.0224999999999999,0.0474999999999993,1.57079632679491,-1.5707963267949,0,link7,0,0,-1,,,,,,,,,,,,
motor7,-6.67089214811956E-06,-0.00663537074253837,0.0418258086254109,0,0,0,0.00686808725057457,6.55311281584857E-07,2.08686360462553E-11,4.97189510314161E-10,8.63004060161909E-07,-9.43082315968549E-10,2.97649133425633E-07,0,0,0,0,0,0,package://force_gello_urdf/meshes/motor7.STL,1,1,1,1,0,0,0,0,0,0,package://force_gello_urdf/meshes/motor7.STL,,HL-3915-C001-20250122-1,origin7,axis7,motor7,fixed,0,0,0,0,0,0,link7,0,0,0,,,,,,,,,,,,
